"LegalForm","Region","PropRight","Purpose","Area","Subject"
ФОП,Не визначений,Власність,"02.05 Для будівництва індивідуальних гаражів",0.0048,0
ФОП,Не визначений,Володіння,"01.02 Для ведення фермерського господарства",3.0,0
ФОП,Не визначений,Володіння,"01.03 Для ведення особистого селянського господарства",1.2163,0
ФОП,Не визначений,Володіння,"03.07 Для будівництва та обслуговування будівель торгівлі",1.9694,0
ФОП,Не визначений,Користування (сервітут),"01.03 Для ведення особистого селянського господарства",4.0,0
ФОП,Не визначений,Не визначений,"01.03 Для ведення особистого селянського господарства",3.8286,0
ФОП,Не визначений,Не визначений,Не визначений,0.0,0
ФОП,Не визначений,Оренда,"01.01 Для ведення товарного сільськогосподарського виробництва",127.21039999999999,0
ФОП,Не визначений,Оренда,"01.03 Для ведення особистого селянського господарства",14.4926,0
ФОП,Не визначений,Оренда,"01.07 Для городництва",0.7,0
ФОП,Не визначений,Оренда,"01.08 Для сінокосіння і випасання худоби",1.3327,0
ФОП,Не визначений,Оренда,"01.13 Для іншого сільськогосподарського призначення",0.503,0
ФОП,Не визначений,Постійне користування,"01.02 Для ведення фермерського господарства",4.2,0
ФОП,ОДЕСЬКА ОБЛАСТЬ,Власність,"01.01 Для ведення товарного сільськогосподарського виробництва",10.1162,3
ФОП,ОДЕСЬКА ОБЛАСТЬ,Власність,"01.03 Для ведення особистого селянського господарства",4.0,2
ФОП,ОДЕСЬКА ОБЛАСТЬ,Власність,"02.01 Для будівництва і обслуговування житлового будинку, господарських будівель і споруд (присадибна ділянка)",0.25,1
ФОП,ОДЕСЬКА ОБЛАСТЬ,Оренда,"01.01 Для ведення товарного сільськогосподарського виробництва",175.65839999999994,45
ФОП,ОДЕСЬКА ОБЛАСТЬ,Оренда,"01.03 Для ведення особистого селянського господарства",22.0,11
ФОП,ПОЛТАВСЬКА ОБЛАСТЬ,Власність,"01.01 Для ведення товарного сільськогосподарського виробництва",32.043899999999994,5
ФОП,ПОЛТАВСЬКА ОБЛАСТЬ,Власність,"01.02 Для ведення фермерського господарства",2.623,1
ФОП,ПОЛТАВСЬКА ОБЛАСТЬ,Власність,"01.03 Для ведення особистого селянського господарства",10.5396,8
ФОП,ПОЛТАВСЬКА ОБЛАСТЬ,Власність,"02.01 Для будівництва і обслуговування житлового будинку, господарських будівель і споруд (присадибна ділянка)",0.25,1
ФОП,ПОЛТАВСЬКА ОБЛАСТЬ,Власність,Не визначений,2.0,1
ФОП,ПОЛТАВСЬКА ОБЛАСТЬ,Користування для с/г потреб (емфітевзис),"01.01 Для ведення товарного сільськогосподарського виробництва",12.4801,3
ФОП,ПОЛТАВСЬКА ОБЛАСТЬ,Користування для с/г потреб (емфітевзис),"01.03 Для ведення особистого селянського господарства",7.0,5
ФОП,ПОЛТАВСЬКА ОБЛАСТЬ,Оренда,"01.01 Для ведення товарного сільськогосподарського виробництва",4323.685199999995,785
ФОП,ПОЛТАВСЬКА ОБЛАСТЬ,Оренда,"01.03 Для ведення особистого селянського господарства",202.89610000000002,137
ФОП,ПОЛТАВСЬКА ОБЛАСТЬ,Оренда,"01.08 Для сінокосіння і випасання худоби",30.2666,1
ФОП,ПОЛТАВСЬКА ОБЛАСТЬ,Оренда,"16.00 Землі запасу (земельні ділянки кожної категорії земель, які не надані у власність або користування громадянам чи юридичним особам)",7.4999,5
ФОП,ПОЛТАВСЬКА ОБЛАСТЬ,Оренда,Не визначений,0.0446,1
ФОП,РІВНЕНСЬКА ОБЛАСТЬ,Власність,"01.03 Для ведення особистого селянського господарства",8.750499999999999,7
ФОП,РІВНЕНСЬКА ОБЛАСТЬ,Власність,"02.01 Для будівництва і обслуговування житлового будинку, господарських будівель і споруд (присадибна ділянка)",0.5,2
ФОП,СУМСЬКА ОБЛАСТЬ,Власність,"01.01 Для ведення товарного сільськогосподарського виробництва",5.2206,4
ФОП,СУМСЬКА ОБЛАСТЬ,Власність,"01.03 Для ведення особистого селянського господарства",31.9822,16
ФОП,СУМСЬКА ОБЛАСТЬ,Власність,"11.02 Для розміщення та експлуатації основних, підсобних і допоміжних будівель та споруд підприємств переробної, машинобудівної та іншої промисловості",1.967,1
ФОП,СУМСЬКА ОБЛАСТЬ,Власність,Не визначений,0.0061,1
ФОП,СУМСЬКА ОБЛАСТЬ,Користування для с/г потреб (емфітевзис),"01.01 Для ведення товарного сільськогосподарського виробництва",52.1792,20
ФОП,СУМСЬКА ОБЛАСТЬ,Користування для с/г потреб (емфітевзис),"01.03 Для ведення особистого селянського господарства",10.4,6
ФОП,СУМСЬКА ОБЛАСТЬ,Оренда,"01.01 Для ведення товарного сільськогосподарського виробництва",2167.721730000003,951
ФОП,СУМСЬКА ОБЛАСТЬ,Оренда,"01.03 Для ведення особистого селянського господарства",63.0156,36
ФОП,СУМСЬКА ОБЛАСТЬ,Оренда,"01.13 Для іншого сільськогосподарського призначення",4.0,1
ФОП,СУМСЬКА ОБЛАСТЬ,Оренда,"11.02 Для розміщення та експлуатації основних, підсобних і допоміжних будівель та споруд підприємств переробної, машинобудівної та іншої промисловості",1.7458999999999998,3
ФОП,СУМСЬКА ОБЛАСТЬ,Оренда,Не визначений,0.1933,2
ФОП,СУМСЬКА ОБЛАСТЬ,Постійне користування,"01.01 Для ведення товарного сільськогосподарського виробництва",0.5253,1
ФОП,ТЕРНОПІЛЬСЬКА ОБЛАСТЬ,Власність,"01.01 Для ведення товарного сільськогосподарського виробництва",9.465399999999999,6
ФОП,ТЕРНОПІЛЬСЬКА ОБЛАСТЬ,Власність,"01.03 Для ведення особистого селянського господарства",109.9672,59
ФОП,ТЕРНОПІЛЬСЬКА ОБЛАСТЬ,Оренда,"01.02 Для ведення фермерського господарства",182.51579999999998,7
ФОП,ТЕРНОПІЛЬСЬКА ОБЛАСТЬ,Оренда,Не визначений,0.348,1
ФОП,ХАРКІВСЬКА ОБЛАСТЬ,Власність,"01.01 Для ведення товарного сільськогосподарського виробництва",9.6294,6
ФОП,ХАРКІВСЬКА ОБЛАСТЬ,Власність,"01.03 Для ведення особистого селянського господарства",10.65,6
ФОП,ХАРКІВСЬКА ОБЛАСТЬ,Власність,"02.01 Для будівництва і обслуговування житлового будинку, господарських будівель і споруд (присадибна ділянка)",0.35,2
ФОП,ХАРКІВСЬКА ОБЛАСТЬ,Користування для с/г потреб (емфітевзис),"01.01 Для ведення товарного сільськогосподарського виробництва",28.770699999999998,5
ФОП,ХАРКІВСЬКА ОБЛАСТЬ,Користування для с/г потреб (емфітевзис),"01.03 Для ведення особистого селянського господарства",2.0,1
ФОП,ХАРКІВСЬКА ОБЛАСТЬ,Оренда,"01.01 Для ведення товарного сільськогосподарського виробництва",85.16210000000001,10
ФОП,ХАРКІВСЬКА ОБЛАСТЬ,Оренда,"01.03 Для ведення особистого селянського господарства",2.0,1
ФОП,ХАРКІВСЬКА ОБЛАСТЬ,Оренда,"03.07 Для будівництва та обслуговування будівель торгівлі",0.0258,1
ФОП,ХЕРСОНСЬКА ОБЛАСТЬ,Власність,"01.01 Для ведення товарного сільськогосподарського виробництва",35.6278,16
ФОП,ХЕРСОНСЬКА ОБЛАСТЬ,Власність,"01.02 Для ведення фермерського господарства",5.931,1
ФОП,ХЕРСОНСЬКА ОБЛАСТЬ,Власність,"01.03 Для ведення особистого селянського господарства",7.43,4
ФОП,ХЕРСОНСЬКА ОБЛАСТЬ,Оренда,"01.01 Для ведення товарного сільськогосподарського виробництва",89.11580000000001,16
ФОП,ХЕРСОНСЬКА ОБЛАСТЬ,Оренда,"01.03 Для ведення особистого селянського господарства",1.0,1
ФОП,ХЕРСОНСЬКА ОБЛАСТЬ,Оренда,"11.02 Для розміщення та експлуатації основних, підсобних і допоміжних будівель та споруд підприємств переробної, машинобудівної та іншої промисловості",2.9952,1
ФОП,ХМЕЛЬНИЦЬКА ОБЛАСТЬ,Власність,"01.03 Для ведення особистого селянського господарства",4.0,2
ФОП,ХМЕЛЬНИЦЬКА ОБЛАСТЬ,Оренда,"01.02 Для ведення фермерського господарства",235.91820000000004,12
ФОП,ЧЕРКАСЬКА ОБЛАСТЬ,Власність,"01.01 Для ведення товарного сільськогосподарського виробництва",16.5824,5
ФОП,ЧЕРКАСЬКА ОБЛАСТЬ,Власність,"01.03 Для ведення особистого селянського господарства",4.0,1
ФОП,ЧЕРКАСЬКА ОБЛАСТЬ,Власність,"09.01 Для ведення лісового господарства і пов'язаних з ним послуг",941.51,1
ФОП,ЧЕРКАСЬКА ОБЛАСТЬ,Власність,Не визначений,0.1001,1
ФОП,ЧЕРКАСЬКА ОБЛАСТЬ,Інше,"10.07 Для рибогосподарських потреб",11.7172,1
ФОП,ЧЕРНІГІВСЬКА ОБЛАСТЬ,Власність,"01.03 Для ведення особистого селянського господарства",3.1498999999999997,2
ФОП,ЧЕРНІГІВСЬКА ОБЛАСТЬ,Оренда,"01.01 Для ведення товарного сільськогосподарського виробництва",46.292800000000014,24
ФОП,ЧЕРНІГІВСЬКА ОБЛАСТЬ,Оренда,"01.03 Для ведення особистого селянського господарства",4.0,2
Юридична особа,ВІННИЦЬКА ОБЛАСТЬ,Власність,"01.03 Для ведення особистого селянського господарства",1.0,1
Юридична особа,ВІННИЦЬКА ОБЛАСТЬ,Власність,"01.13 Для іншого сільськогосподарського призначення",3.5219,3
Юридична особа,ВІННИЦЬКА ОБЛАСТЬ,Власність,"11.02 Для розміщення та експлуатації основних, підсобних і допоміжних будівель та споруд підприємств переробної, машинобудівної та іншої промисловості",3.9324,1
Юридична особа,ВІННИЦЬКА ОБЛАСТЬ,Володіння,"01.01 Для ведення товарного сільськогосподарського виробництва",2.155,1
Юридична особа,ВІННИЦЬКА ОБЛАСТЬ,Користування для с/г потреб (емфітевзис),"01.01 Для ведення товарного сільськогосподарського виробництва",159.6263,75
Юридична особа,ВІННИЦЬКА ОБЛАСТЬ,Оренда,"01.01 Для ведення товарного сільськогосподарського виробництва",9641.181100000029,3556
Юридична особа,ВІННИЦЬКА ОБЛАСТЬ,Оренда,"01.02 Для ведення фермерського господарства",25.269300000000005,12
Юридична особа,ВІННИЦЬКА ОБЛАСТЬ,Оренда,"01.03 Для ведення особистого селянського господарства",1360.6831999999993,743
Юридична особа,ВІННИЦЬКА ОБЛАСТЬ,Оренда,"01.13 Для іншого сільськогосподарського призначення",3.4433,2
Юридична особа,ВІННИЦЬКА ОБЛАСТЬ,Оренда,"02.01 Для будівництва і обслуговування житлового будинку, господарських будівель і споруд (присадибна ділянка)",6.1201,4
Юридична особа,ВІННИЦЬКА ОБЛАСТЬ,Оренда,"10.07 Для рибогосподарських потреб",7.0795,2
Юридична особа,ВІННИЦЬКА ОБЛАСТЬ,Оренда,"11.02 Для розміщення та експлуатації основних, підсобних і допоміжних будівель та споруд підприємств переробної, машинобудівної та іншої промисловості",3.5906,1
Юридична особа,ВІННИЦЬКА ОБЛАСТЬ,Оренда,"16.00 Землі запасу (земельні ділянки кожної категорії земель, які не надані у власність або користування громадянам чи юридичним особам)",23.1535,7
Юридична особа,ВІННИЦЬКА ОБЛАСТЬ,Оренда,Не визначений,2.9092,4
Юридична особа,ВІННИЦЬКА ОБЛАСТЬ,Суборенда,"01.01 Для ведення товарного сільськогосподарського виробництва",131.9999,37
Юридична особа,ВОЛИНСЬКА ОБЛАСТЬ,Власність,"01.03 Для ведення особистого селянського господарства",30.781999999999996,25
Юридична особа,ВОЛИНСЬКА ОБЛАСТЬ,Власність,"01.05 Для індивідуального садівництва",1.5608000000000004,14
Юридична особа,ВОЛИНСЬКА ОБЛАСТЬ,Власність,"02.01 Для будівництва і обслуговування житлового будинку, господарських будівель і споруд (присадибна ділянка)",1.0,4
Юридична особа,ВОЛИНСЬКА ОБЛАСТЬ,Власність,"03.07 Для будівництва та обслуговування будівель торгівлі",0.271,1
Юридична особа,ВОЛИНСЬКА ОБЛАСТЬ,Власність,Не визначений,3.4726999999999997,7
Юридична особа,ВОЛИНСЬКА ОБЛАСТЬ,Інше,"01.03 Для ведення особистого селянського господарства",4.1569,2
Юридична особа,ВОЛИНСЬКА ОБЛАСТЬ,Інше,"01.13 Для іншого сільськогосподарського призначення",5.3266,1
Юридична особа,ВОЛИНСЬКА ОБЛАСТЬ,Інше,Не визначений,5.7112,1
Юридична особа,ВОЛИНСЬКА ОБЛАСТЬ,Користування для с/г потреб (емфітевзис),"01.01 Для ведення товарного сільськогосподарського виробництва",5.7995,4
Юридична особа,ВОЛИНСЬКА ОБЛАСТЬ,Користування для с/г потреб (емфітевзис),"01.03 Для ведення особистого селянського господарства",6.7903,3
Юридична особа,ВОЛИНСЬКА ОБЛАСТЬ,Не визначений,"01.03 Для ведення особистого селянського господарства",1.7466,3
Юридична особа,ВОЛИНСЬКА ОБЛАСТЬ,Оренда,"01.01 Для ведення товарного сільськогосподарського виробництва",6229.082400000006,1979
Юридична особа,ВОЛИНСЬКА ОБЛАСТЬ,Оренда,"01.02 Для ведення фермерського господарства",151.05939999999995,42
Юридична особа,ВОЛИНСЬКА ОБЛАСТЬ,Оренда,"01.03 Для ведення особистого селянського господарства",13426.650800000012,9221
Юридична особа,ВОЛИНСЬКА ОБЛАСТЬ,Оренда,"01.04 Для ведення підсобного сільського господарства",51.27079999999999,44
Юридична особа,ВОЛИНСЬКА ОБЛАСТЬ,Оренда,"01.05 Для індивідуального садівництва",1.2419,1
Юридична особа,ВОЛИНСЬКА ОБЛАСТЬ,Оренда,"01.06 Для колективного садівництва",1.5517999999999998,2
Юридична особа,ВОЛИНСЬКА ОБЛАСТЬ,Оренда,"01.13 Для іншого сільськогосподарського призначення",8.4366,5
Юридична особа,ВОЛИНСЬКА ОБЛАСТЬ,Оренда,"02.01 Для будівництва і обслуговування житлового будинку, господарських будівель і споруд (присадибна ділянка)",7.5196000000000005,5
Юридична особа,ВОЛИНСЬКА ОБЛАСТЬ,Оренда,"03.07 Для будівництва та обслуговування будівель торгівлі",0.2038,1
Юридична особа,ВОЛИНСЬКА ОБЛАСТЬ,Оренда,"11.02 Для розміщення та експлуатації основних, підсобних і допоміжних будівель та споруд підприємств переробної, машинобудівної та іншої промисловості",0.2738,1
Юридична особа,ВОЛИНСЬКА ОБЛАСТЬ,Оренда,"16.00 Землі запасу (земельні ділянки кожної категорії земель, які не надані у власність або користування громадянам чи юридичним особам)",309.216,20
Юридична особа,ВОЛИНСЬКА ОБЛАСТЬ,Оренда,"17.00 Землі резервного фонду (землі, створені органами виконавчої влади або органами місцевого самоврядування у процесі приватизації сільськогосподарських угідь, які були у постійному користуванні відповідних підприємств, установ та організацій)",2.0,1
Юридична особа,ВОЛИНСЬКА ОБЛАСТЬ,Оренда,Не визначений,143.43680000000006,177
Юридична особа,ВОЛИНСЬКА ОБЛАСТЬ,Суборенда,"01.01 Для ведення товарного сільськогосподарського виробництва",11.2016,4
Юридична особа,ВОЛИНСЬКА ОБЛАСТЬ,Суборенда,"01.03 Для ведення особистого селянського господарства",14.3145,8
Юридична особа,ДНІПРОПЕТРОВСЬКА ОБЛАСТЬ,Власність,"01.01 Для ведення товарного сільськогосподарського виробництва",0.5459,3
Юридична особа,ДНІПРОПЕТРОВСЬКА ОБЛАСТЬ,Власність,"01.03 Для ведення особистого селянського господарства",0.2944,1
Юридична особа,ДНІПРОПЕТРОВСЬКА ОБЛАСТЬ,Власність,"02.01 Для будівництва і обслуговування житлового будинку, господарських будівель і споруд (присадибна ділянка)",0.25,1
Юридична особа,ДНІПРОПЕТРОВСЬКА ОБЛАСТЬ,Власність,Не визначений,0.1189,1
Юридична особа,ДНІПРОПЕТРОВСЬКА ОБЛАСТЬ,Інше,"01.01 Для ведення товарного сільськогосподарського виробництва",131.257,17
Юридична особа,ДНІПРОПЕТРОВСЬКА ОБЛАСТЬ,Інше,"01.03 Для ведення особистого селянського господарства",1.0,1
Юридична особа,ДНІПРОПЕТРОВСЬКА ОБЛАСТЬ,Користування (сервітут),"01.01 Для ведення товарного сільськогосподарського виробництва",317.9201,2
Юридична особа,ДНІПРОПЕТРОВСЬКА ОБЛАСТЬ,Користування (сервітут),"03.07 Для будівництва та обслуговування будівель торгівлі",0.006,2
Юридична особа,ДНІПРОПЕТРОВСЬКА ОБЛАСТЬ,Користування (сервітут),"10.04 Для експлуатації та догляду за гідротехнічними, іншими водогосподарськими спорудами і каналами",168.5217,1
Юридична особа,ДНІПРОПЕТРОВСЬКА ОБЛАСТЬ,Користування (сервітут),"12.04 Для розміщення та експлуатації будівель і споруд автомобільного транспорту та дорожнього господарства",47.5925,1
Юридична особа,ДНІПРОПЕТРОВСЬКА ОБЛАСТЬ,Користування для с/г потреб (емфітевзис),"01.02 Для ведення фермерського господарства",30.179999999999993,7
Юридична особа,ДНІПРОПЕТРОВСЬКА ОБЛАСТЬ,Користування для с/г потреб (емфітевзис),"01.03 Для ведення особистого селянського господарства",44.036100000000005,24
Юридична особа,ДНІПРОПЕТРОВСЬКА ОБЛАСТЬ,Оренда,"01.01 Для ведення товарного сільськогосподарського виробництва",11462.747400000013,2156
Юридична особа,ДНІПРОПЕТРОВСЬКА ОБЛАСТЬ,Оренда,"01.02 Для ведення фермерського господарства",663.9684,35
Юридична особа,ДНІПРОПЕТРОВСЬКА ОБЛАСТЬ,Оренда,"01.03 Для ведення особистого селянського господарства",451.6081999999998,244
Юридична особа,ДНІПРОПЕТРОВСЬКА ОБЛАСТЬ,Оренда,"13.01 Для розміщення та експлуатації об'єктів і споруд телекомунікацій",0.1248,1
Юридична особа,ДНІПРОПЕТРОВСЬКА ОБЛАСТЬ,Оренда,"16.00 Землі запасу (земельні ділянки кожної категорії земель, які не надані у власність або користування громадянам чи юридичним особам)",21.0038,5
Юридична особа,ДНІПРОПЕТРОВСЬКА ОБЛАСТЬ,Оренда,Не визначений,146.3739,34
Юридична особа,ДНІПРОПЕТРОВСЬКА ОБЛАСТЬ,Постійне користування,"01.04 Для ведення підсобного сільського господарства",15.6,1
Юридична особа,ДНІПРОПЕТРОВСЬКА ОБЛАСТЬ,Суборенда,"01.01 Для ведення товарного сільськогосподарського виробництва",1707.7592000000004,218
Юридична особа,ДНІПРОПЕТРОВСЬКА ОБЛАСТЬ,Суборенда,"01.02 Для ведення фермерського господарства",47.974,1
Юридична особа,ДНІПРОПЕТРОВСЬКА ОБЛАСТЬ,Суборенда,"01.03 Для ведення особистого селянського господарства",7.0626,3
Юридична особа,ДОНЕЦЬКА ОБЛАСТЬ,Власність,"01.03 Для ведення особистого селянського господарства",1.8205,3
Юридична особа,ДОНЕЦЬКА ОБЛАСТЬ,Власність,"03.15 Для будівництва та обслуговування інших будівель громадської забудови",0.1537,1
Юридична особа,ДОНЕЦЬКА ОБЛАСТЬ,Власність,Не визначений,2.051,5
Юридична особа,ДОНЕЦЬКА ОБЛАСТЬ,Інше,"01.01 Для ведення товарного сільськогосподарського виробництва",68.5031,18
Юридична особа,ДОНЕЦЬКА ОБЛАСТЬ,Інше,"01.03 Для ведення особистого селянського господарства",0.13,1
Юридична особа,ДОНЕЦЬКА ОБЛАСТЬ,Інше,Не визначений,26.224000000000004,5
Юридична особа,ДОНЕЦЬКА ОБЛАСТЬ,Користування (сервітут),"11.02 Для розміщення та експлуатації основних, підсобних і допоміжних будівель та споруд підприємств переробної, машинобудівної та іншої промисловості",0.6608,1
Юридична особа,ДОНЕЦЬКА ОБЛАСТЬ,Користування (сервітут),"11.04 Для розміщення та експлуатації основних, підсобних і допоміжних будівель та споруд технічної інфраструктури (виробництва та розподілення газу, постачання пари та гарячої води, збирання, очищення та розподілення води)",12.6219,4
Юридична особа,ДОНЕЦЬКА ОБЛАСТЬ,Користування для с/г потреб (емфітевзис),"01.01 Для ведення товарного сільськогосподарського виробництва",34.1539,14
Юридична особа,ДОНЕЦЬКА ОБЛАСТЬ,Користування для с/г потреб (емфітевзис),Не визначений,7.636100000000001,3
Юридична особа,ДОНЕЦЬКА ОБЛАСТЬ,Оренда,"01.01 Для ведення товарного сільськогосподарського виробництва",7761.099400000013,2160
Юридична особа,ДОНЕЦЬКА ОБЛАСТЬ,Оренда,"01.02 Для ведення фермерського господарства",18.7418,2
Юридична особа,ДОНЕЦЬКА ОБЛАСТЬ,Оренда,"01.03 Для ведення особистого селянського господарства",306.3484999999999,208
Юридична особа,ДОНЕЦЬКА ОБЛАСТЬ,Оренда,"01.04 Для ведення підсобного сільського господарства",0.13,1
Юридична особа,ДОНЕЦЬКА ОБЛАСТЬ,Оренда,"01.13 Для іншого сільськогосподарського призначення",0.9252,2
Юридична особа,ДОНЕЦЬКА ОБЛАСТЬ,Оренда,"02.03 Для будівництва і обслуговування багатоквартирного житлового будинку",0.1528,1
Юридична особа,ДОНЕЦЬКА ОБЛАСТЬ,Оренда,"03.02 Для будівництва та обслуговування будівель закладів освіти",1.0316,1
Юридична особа,ДОНЕЦЬКА ОБЛАСТЬ,Оренда,"03.03 Для будівництва та обслуговування будівель закладів охорони здоров'я та соціальної допомоги",0.2438,1
Юридична особа,ДОНЕЦЬКА ОБЛАСТЬ,Оренда,"03.07 Для будівництва та обслуговування будівель торгівлі",0.6846,1
Юридична особа,ДОНЕЦЬКА ОБЛАСТЬ,Оренда,"03.08 Для будівництва та обслуговування об'єктів туристичної інфраструктури та закладів громадського харчування",0.1806,1
Юридична особа,ДОНЕЦЬКА ОБЛАСТЬ,Оренда,"03.15 Для будівництва та обслуговування інших будівель громадської забудови",0.0318,1
Юридична особа,ДОНЕЦЬКА ОБЛАСТЬ,Оренда,"06.01 Для будівництва і обслуговування санаторно-оздоровчих закладів",2.9465,1
Юридична особа,ДОНЕЦЬКА ОБЛАСТЬ,Оренда,"07.01 Для будівництва та обслуговування об'єктів рекреаційного призначення",2.2696,2
Юридична особа,ДОНЕЦЬКА ОБЛАСТЬ,Оренда,"11.02 Для розміщення та експлуатації основних, підсобних і допоміжних будівель та споруд підприємств переробної, машинобудівної та іншої промисловості",72.8096,8
Юридична особа,ДОНЕЦЬКА ОБЛАСТЬ,Оренда,"12.04 Для розміщення та експлуатації будівель і споруд автомобільного транспорту та дорожнього господарства",0.1825,1
Юридична особа,ДОНЕЦЬКА ОБЛАСТЬ,Оренда,Не визначений,1218.927,385
Юридична особа,ДОНЕЦЬКА ОБЛАСТЬ,Постійне користування,"01.01 Для ведення товарного сільськогосподарського виробництва",77.1989,3
Юридична особа,ДОНЕЦЬКА ОБЛАСТЬ,Постійне користування,"01.02 Для ведення фермерського господарства",308.7,5
Юридична особа,ДОНЕЦЬКА ОБЛАСТЬ,Постійне користування,"01.13 Для іншого сільськогосподарського призначення",51.222,2
Юридична особа,ДОНЕЦЬКА ОБЛАСТЬ,Постійне користування,"11.02 Для розміщення та експлуатації основних, підсобних і допоміжних будівель та споруд підприємств переробної, машинобудівної та іншої промисловості",960.427,2
Юридична особа,ДОНЕЦЬКА ОБЛАСТЬ,Постійне користування,"12.06 Для розміщення та експлуатації об'єктів трубопровідного транспорту",0.012799999999999994,68
Юридична особа,ДОНЕЦЬКА ОБЛАСТЬ,Суборенда,"12.08 Для розміщення та експлуатації будівель і споруд додаткових транспортних послуг та допоміжних операцій",32.2433,1
Юридична особа,ЖИТОМИРСЬКА ОБЛАСТЬ,Інше,"01.01 Для ведення товарного сільськогосподарського виробництва",521.8087,18
Юридична особа,ЖИТОМИРСЬКА ОБЛАСТЬ,Інше,"01.03 Для ведення особистого селянського господарства",23.2667,6
Юридична особа,ЖИТОМИРСЬКА ОБЛАСТЬ,Користування для с/г потреб (емфітевзис),"01.03 Для ведення особистого селянського господарства",5.7894000000000005,2
Юридична особа,ЖИТОМИРСЬКА ОБЛАСТЬ,Користування для с/г потреб (емфітевзис),Не визначений,3.3156,1
Юридична особа,ЖИТОМИРСЬКА ОБЛАСТЬ,Оренда,"01.01 Для ведення товарного сільськогосподарського виробництва",1847.0805000000023,432
Юридична особа,ЖИТОМИРСЬКА ОБЛАСТЬ,Оренда,"01.02 Для ведення фермерського господарства",54.568799999999996,7
Юридична особа,ЖИТОМИРСЬКА ОБЛАСТЬ,Оренда,"01.03 Для ведення особистого селянського господарства",935.8508000000006,379
Юридична особа,ЖИТОМИРСЬКА ОБЛАСТЬ,Оренда,"03.07 Для будівництва та обслуговування будівель торгівлі",0.1105,1
Юридична особа,ЖИТОМИРСЬКА ОБЛАСТЬ,Оренда,Не визначений,755.2409000000001,221
Юридична особа,ЗАКАРПАТСЬКА ОБЛАСТЬ,Власність,"01.02 Для ведення фермерського господарства",12.6662,1
Юридична особа,ЗАКАРПАТСЬКА ОБЛАСТЬ,Власність,"01.04 Для ведення підсобного сільського господарства",3.5219,1
Юридична особа,ЗАКАРПАТСЬКА ОБЛАСТЬ,Власність,"02.01 Для будівництва і обслуговування житлового будинку, господарських будівель і споруд (присадибна ділянка)",0.0902,1
Юридична особа,ЗАКАРПАТСЬКА ОБЛАСТЬ,Володіння,Не визначений,178.0254,1
Юридична особа,ЗАКАРПАТСЬКА ОБЛАСТЬ,Оренда,"01.01 Для ведення товарного сільськогосподарського виробництва",174.76029999999997,82
Юридична особа,ЗАКАРПАТСЬКА ОБЛАСТЬ,Оренда,"01.02 Для ведення фермерського господарства",3.4,1
Юридична особа,ЗАКАРПАТСЬКА ОБЛАСТЬ,Оренда,"01.04 Для ведення підсобного сільського господарства",0.0009,1
Юридична особа,ЗАКАРПАТСЬКА ОБЛАСТЬ,Оренда,"11.02 Для розміщення та експлуатації основних, підсобних і допоміжних будівель та споруд підприємств переробної, машинобудівної та іншої промисловості",0.6468,1
Юридична особа,ЗАКАРПАТСЬКА ОБЛАСТЬ,Постійне користування,"01.01 Для ведення товарного сільськогосподарського виробництва",1162.7006000000001,38
Юридична особа,ЗАКАРПАТСЬКА ОБЛАСТЬ,Постійне користування,"01.04 Для ведення підсобного сільського господарства",15.252799999999999,5
Юридична особа,ЗАКАРПАТСЬКА ОБЛАСТЬ,Постійне користування,"01.13 Для іншого сільськогосподарського призначення",0.7686999999999999,2
Юридична особа,ЗАПОРІЗЬКА ОБЛАСТЬ,Власність,"01.01 Для ведення товарного сільськогосподарського виробництва",2.4903,1
Юридична особа,ЗАПОРІЗЬКА ОБЛАСТЬ,Власність,"01.03 Для ведення особистого селянського господарства",23.525000000000002,19
Юридична особа,ЗАПОРІЗЬКА ОБЛАСТЬ,Власність,"02.01 Для будівництва і обслуговування житлового будинку, господарських будівель і споруд (присадибна ділянка)",2.5635000000000003,12
Юридична особа,ЗАПОРІЗЬКА ОБЛАСТЬ,Власність,"02.05 Для будівництва індивідуальних гаражів",0.0053,1
Юридична особа,ЗАПОРІЗЬКА ОБЛАСТЬ,Власність,"03.15 Для будівництва та обслуговування інших будівель громадської забудови",0.1438,1
Юридична особа,ЗАПОРІЗЬКА ОБЛАСТЬ,Власність,"14.01 Для розміщення, будівництва, експлуатації та обслуговування будівель і споруд об'єктів енергогенеруючих підприємств, установ і організацій",0.0614,1
Юридична особа,ЗАПОРІЗЬКА ОБЛАСТЬ,Володіння,"01.01 Для ведення товарного сільськогосподарського виробництва",21.3121,1
Юридична особа,ЗАПОРІЗЬКА ОБЛАСТЬ,Інше,"01.01 Для ведення товарного сільськогосподарського виробництва",47.4103,6
Юридична особа,ЗАПОРІЗЬКА ОБЛАСТЬ,Інше,"01.03 Для ведення особистого селянського господарства",76.7789,10
Юридична особа,ЗАПОРІЗЬКА ОБЛАСТЬ,Користування для с/г потреб (емфітевзис),"01.01 Для ведення товарного сільськогосподарського виробництва",305.8000000000001,74
Юридична особа,ЗАПОРІЗЬКА ОБЛАСТЬ,Користування для с/г потреб (емфітевзис),"01.03 Для ведення особистого селянського господарства",20.149400000000004,11
Юридична особа,ЗАПОРІЗЬКА ОБЛАСТЬ,Користування для с/г потреб (емфітевзис),Не визначений,33.1896,29
