LegalForm,catottg_region,Region,catottg_district,District,catottg_community,Community,PropRight,Purpose,Area,Subject
ФОП,UA48000000000039575,МИКОЛАЇВСЬКА ОБЛАСТЬ,UA48020000000033544,БАШТАНСЬКИЙ РАЙОН,UA48020030000061219,БЕРЕЗНЕГУВАТСЬКА ТЕРИТОРІАЛЬНА ГРОМАДА,Оренда,Не визначений,7.6453,2
ФОП,UA48000000000039575,МИКОЛАЇВСЬКА ОБЛАСТЬ,UA48020000000033544,БАШТАНСЬКИЙ РАЙОН,UA48020130000080862,КАЗАНКІВСЬКА ТЕРИТОРІАЛЬНА ГРОМАДА,Оренда,Не визначений,3.0889,1
ФОП,UA48000000000039575,МИКОЛАЇВСЬКА ОБЛАСТЬ,UA48040000000011780,ВОЗНЕСЕНСЬКИЙ РАЙОН,UA48040110000015580,ДОРОШІВСЬКА ТЕРИТОРІАЛЬНА ГРОМАДА,Оренда,Не визначений,0.56,1
ФОП,,Не визначений,,Не визначений,,Не визначений,Власність,01.01 Для ведення товарного сільськогосподарського виробництва,24719.6176,0
ФОП,,Не визначений,,Не визначений,,Не визначений,Власність,01.02 Для ведення фермерського господарства,9.3232,0
ФОП,,Не визначений,,Не визначений,,Не визначений,Власність,01.03 Для ведення особистого селянського господарства,38.7213,0
ФОП,,Не визначений,,Не визначений,,Не визначений,Власність,01.04 Для ведення підсобного сільського господарства,2.8275,0
ФОП,,Не визначений,,Не визначений,,Не визначений,Власність,01.13 Для іншого сільськогосподарського призначення,2.12,0
ФОП,,Не визначений,,Не визначений,,Не визначений,Власність,"02.01 Для будівництва і обслуговування житлового будинку, господарських будівель і споруд (присадибна ділянка)",0.25,0
ФОП,,Не визначений,,Не визначений,,Не визначений,Власність,02.05 Для будівництва індивідуальних гаражів,0.0048,0
ФОП,,Не визначений,,Не визначений,,Не визначений,Володіння,01.01 Для ведення товарного сільськогосподарського виробництва,3.0,0
ФОП,,Не визначений,,Не визначений,,Не визначений,Володіння,01.02 Для ведення фермерського господарства,3.0,0
ФОП,,Не визначений,,Не визначений,,Не визначений,Володіння,01.03 Для ведення особистого селянського господарства,1.2163,0
ФОП,,Не визначений,,Не визначений,,Не визначений,Володіння,03.07 Для будівництва та обслуговування будівель торгівлі,1.9694,0
ФОП,,Не визначений,,Не визначений,,Не визначений,Користування (сервітут),01.03 Для ведення особистого селянського господарства,4.0,0
ФОП,,Не визначений,,Не визначений,,Не визначений,Не визначений,01.03 Для ведення особистого селянського господарства,3.8286,0
ФОП,,Не визначений,,Не визначений,,Не визначений,Не визначений,Не визначений,0.0,0
ФОП,,Не визначений,,Не визначений,,Не визначений,Оренда,01.01 Для ведення товарного сільськогосподарського виробництва,127.21039999999995,0
ФОП,,Не визначений,,Не визначений,,Не визначений,Оренда,01.03 Для ведення особистого селянського господарства,14.4926,0
ФОП,,Не визначений,,Не визначений,,Не визначений,Оренда,01.07 Для городництва,0.7,0
ФОП,,Не визначений,,Не визначений,,Не визначений,Оренда,01.08 Для сінокосіння і випасання худоби,1.3327,0
ФОП,,Не визначений,,Не визначений,,Не визначений,Оренда,01.13 Для іншого сільськогосподарського призначення,0.503,0
ФОП,,Не визначений,,Не визначений,,Не визначений,Оренда,Не визначений,0.78,0
ФОП,,Не визначений,,Не визначений,,Не визначений,Постійне користування,01.02 Для ведення фермерського господарства,4.2,0
ФОП,UA51000000000030770,ОДЕСЬКА ОБЛАСТЬ,UA51120000000021678,ПОДІЛЬСЬКИЙ РАЙОН,UA51120030000075494,БАЛТСЬКА ТЕРИТОРІАЛЬНА ГРОМАДА,Власність,01.01 Для ведення товарного сільськогосподарського виробництва,7.2882,2
ФОП,UA51000000000030770,ОДЕСЬКА ОБЛАСТЬ,UA51120000000021678,ПОДІЛЬСЬКИЙ РАЙОН,UA51120070000097161,ЗЕЛЕНОГІРСЬКА ТЕРИТОРІАЛЬНА ГРОМАДА,Власність,01.01 Для ведення товарного сільськогосподарського виробництва,2.828,1
ФОП,UA51000000000030770,ОДЕСЬКА ОБЛАСТЬ,UA51080000000061776,ІЗМАЇЛЬСЬКИЙ РАЙОН,UA51080110000079212,СУВОРОВСЬКА ТЕРИТОРІАЛЬНА ГРОМАДА,Власність,01.03 Для ведення особистого селянського господарства,2.0,1
ФОП,UA51000000000030770,ОДЕСЬКА ОБЛАСТЬ,UA51120000000021678,ПОДІЛЬСЬКИЙ РАЙОН,UA51120010000025020,АНАНЬЇВСЬКА ТЕРИТОРІАЛЬНА ГРОМАДА,Власність,01.03 Для ведення особистого селянського господарства,2.0,1
ФОП,UA51000000000030770,ОДЕСЬКА ОБЛАСТЬ,UA51120000000021678,ПОДІЛЬСЬКИЙ РАЙОН,UA51120110000047677,КУЯЛЬНИЦЬКА ТЕРИТОРІАЛЬНА ГРОМАДА,Власність,"02.01 Для будівництва і обслуговування житлового будинку, господарських будівель і споруд (присадибна ділянка)",0.25,1
ФОП,UA51000000000030770,ОДЕСЬКА ОБЛАСТЬ,UA51060000000057808,БОЛГРАДСЬКИЙ РАЙОН,UA51060070000052726,ВАСИЛІВСЬКА ТЕРИТОРІАЛЬНА ГРОМАДА,Оренда,01.01 Для ведення товарного сільськогосподарського виробництва,88.55789999999999,25
ФОП,UA51000000000030770,ОДЕСЬКА ОБЛАСТЬ,UA51080000000061776,ІЗМАЇЛЬСЬКИЙ РАЙОН,UA51080110000079212,СУВОРОВСЬКА ТЕРИТОРІАЛЬНА ГРОМАДА,Оренда,01.01 Для ведення товарного сільськогосподарського виробництва,36.5244,8
ФОП,UA51000000000030770,ОДЕСЬКА ОБЛАСТЬ,UA51120000000021678,ПОДІЛЬСЬКИЙ РАЙОН,UA51120030000075494,БАЛТСЬКА ТЕРИТОРІАЛЬНА ГРОМАДА,Оренда,01.01 Для ведення товарного сільськогосподарського виробництва,6.7674,1
ФОП,UA51000000000030770,ОДЕСЬКА ОБЛАСТЬ,UA51120000000021678,ПОДІЛЬСЬКИЙ РАЙОН,UA51120070000097161,ЗЕЛЕНОГІРСЬКА ТЕРИТОРІАЛЬНА ГРОМАДА,Оренда,01.01 Для ведення товарного сільськогосподарського виробництва,15.6081,3
ФОП,UA51000000000030770,ОДЕСЬКА ОБЛАСТЬ,UA51120000000021678,ПОДІЛЬСЬКИЙ РАЙОН,UA51120110000047677,КУЯЛЬНИЦЬКА ТЕРИТОРІАЛЬНА ГРОМАДА,Оренда,01.01 Для ведення товарного сільськогосподарського виробництва,28.200599999999998,8
ФОП,UA51000000000030770,ОДЕСЬКА ОБЛАСТЬ,UA51080000000061776,ІЗМАЇЛЬСЬКИЙ РАЙОН,UA51080110000079212,СУВОРОВСЬКА ТЕРИТОРІАЛЬНА ГРОМАДА,Оренда,01.03 Для ведення особистого селянського господарства,2.0,1
ФОП,UA51000000000030770,ОДЕСЬКА ОБЛАСТЬ,UA51120000000021678,ПОДІЛЬСЬКИЙ РАЙОН,UA51120110000047677,КУЯЛЬНИЦЬКА ТЕРИТОРІАЛЬНА ГРОМАДА,Оренда,01.03 Для ведення особистого селянського господарства,20.0,10
ФОП,UA53000000000028050,ПОЛТАВСЬКА ОБЛАСТЬ,UA53020000000034761,КРЕМЕНЧУЦЬКИЙ РАЙОН,UA53020210000023587,ПРИШИБСЬКА ТЕРИТОРІАЛЬНА ГРОМАДА,Власність,01.01 Для ведення товарного сільськогосподарського виробництва,4.0885,1
ФОП,UA53000000000028050,ПОЛТАВСЬКА ОБЛАСТЬ,UA53020000000034761,КРЕМЕНЧУЦЬКИЙ РАЙОН,UA53020230000086353,СЕМЕНІВСЬКА ТЕРИТОРІАЛЬНА ГРОМАДА,Власність,01.01 Для ведення товарного сільськогосподарського виробництва,5.85,2
ФОП,UA53000000000028050,ПОЛТАВСЬКА ОБЛАСТЬ,UA53040000000081308,ЛУБЕНСЬКИЙ РАЙОН,UA53040090000048649,ПИРЯТИНСЬКА ТЕРИТОРІАЛЬНА ГРОМАДА,Власність,01.01 Для ведення товарного сільськогосподарського виробництва,11.154,2
ФОП,UA53000000000028050,ПОЛТАВСЬКА ОБЛАСТЬ,UA53060000000045271,МИРГОРОДСЬКИЙ РАЙОН,UA53060330000036503,ШИШАЦЬКА ТЕРИТОРІАЛЬНА ГРОМАДА,Власність,01.01 Для ведення товарного сільськогосподарського виробництва,2.4298,1
ФОП,UA53000000000028050,ПОЛТАВСЬКА ОБЛАСТЬ,UA53080000000068029,ПОЛТАВСЬКИЙ РАЙОН,UA53080210000072644,МАРТИНІВСЬКА ТЕРИТОРІАЛЬНА ГРОМАДА,Власність,01.01 Для ведення товарного сільськогосподарського виробництва,18.460099999999997,2
ФОП,UA53000000000028050,ПОЛТАВСЬКА ОБЛАСТЬ,UA53060000000045271,МИРГОРОДСЬКИЙ РАЙОН,UA53060330000036503,ШИШАЦЬКА ТЕРИТОРІАЛЬНА ГРОМАДА,Власність,01.02 Для ведення фермерського господарства,2.623,1
ФОП,UA53000000000028050,ПОЛТАВСЬКА ОБЛАСТЬ,UA53020000000034761,КРЕМЕНЧУЦЬКИЙ РАЙОН,UA53020210000023587,ПРИШИБСЬКА ТЕРИТОРІАЛЬНА ГРОМАДА,Власність,01.03 Для ведення особистого селянського господарства,2.0,1
ФОП,UA53000000000028050,ПОЛТАВСЬКА ОБЛАСТЬ,UA53020000000034761,КРЕМЕНЧУЦЬКИЙ РАЙОН,UA53020230000086353,СЕМЕНІВСЬКА ТЕРИТОРІАЛЬНА ГРОМАДА,Власність,01.03 Для ведення особистого селянського господарства,14.6,9
ФОП,UA53000000000028050,ПОЛТАВСЬКА ОБЛАСТЬ,UA53040000000081308,ЛУБЕНСЬКИЙ РАЙОН,UA53040090000048649,ПИРЯТИНСЬКА ТЕРИТОРІАЛЬНА ГРОМАДА,Власність,01.03 Для ведення особистого селянського господарства,2.0,1
ФОП,UA53000000000028050,ПОЛТАВСЬКА ОБЛАСТЬ,UA53060000000045271,МИРГОРОДСЬКИЙ РАЙОН,UA53060330000036503,ШИШАЦЬКА ТЕРИТОРІАЛЬНА ГРОМАДА,Власність,01.03 Для ведення особистого селянського господарства,5.9996,4
ФОП,UA53000000000028050,ПОЛТАВСЬКА ОБЛАСТЬ,UA53080000000068029,ПОЛТАВСЬКИЙ РАЙОН,UA53080210000072644,МАРТИНІВСЬКА ТЕРИТОРІАЛЬНА ГРОМАДА,Власність,01.03 Для ведення особистого селянського господарства,1.94,2
ФОП,UA53000000000028050,ПОЛТАВСЬКА ОБЛАСТЬ,UA53080000000068029,ПОЛТАВСЬКИЙ РАЙОН,UA53080270000062586,МИХАЙЛІВСЬКА ТЕРИТОРІАЛЬНА ГРОМАДА,Власність,01.03 Для ведення особистого селянського господарства,0.6,1
ФОП,UA53000000000028050,ПОЛТАВСЬКА ОБЛАСТЬ,UA53020000000034761,КРЕМЕНЧУЦЬКИЙ РАЙОН,UA53020210000023587,ПРИШИБСЬКА ТЕРИТОРІАЛЬНА ГРОМАДА,Власність,"02.01 Для будівництва і обслуговування житлового будинку, господарських будівель і споруд (присадибна ділянка)",0.2004,1
ФОП,UA53000000000028050,ПОЛТАВСЬКА ОБЛАСТЬ,UA53080000000068029,ПОЛТАВСЬКИЙ РАЙОН,UA53080270000062586,МИХАЙЛІВСЬКА ТЕРИТОРІАЛЬНА ГРОМАДА,Власність,"02.01 Для будівництва і обслуговування житлового будинку, господарських будівель і споруд (присадибна ділянка)",0.25,1
ФОП,UA53000000000028050,ПОЛТАВСЬКА ОБЛАСТЬ,UA53040000000081308,ЛУБЕНСЬКИЙ РАЙОН,UA53040090000048649,ПИРЯТИНСЬКА ТЕРИТОРІАЛЬНА ГРОМАДА,Власність,Не визначений,2.0,1
ФОП,UA53000000000028050,ПОЛТАВСЬКА ОБЛАСТЬ,UA53020000000034761,КРЕМЕНЧУЦЬКИЙ РАЙОН,UA53020230000086353,СЕМЕНІВСЬКА ТЕРИТОРІАЛЬНА ГРОМАДА,Користування для с/г потреб (емфітевзис),01.01 Для ведення товарного сільськогосподарського виробництва,27.0228,5
ФОП,UA53000000000028050,ПОЛТАВСЬКА ОБЛАСТЬ,UA53060000000045271,МИРГОРОДСЬКИЙ РАЙОН,UA53060330000036503,ШИШАЦЬКА ТЕРИТОРІАЛЬНА ГРОМАДА,Користування для с/г потреб (емфітевзис),01.01 Для ведення товарного сільськогосподарського виробництва,3.1101,1
ФОП,UA53000000000028050,ПОЛТАВСЬКА ОБЛАСТЬ,UA53080000000068029,ПОЛТАВСЬКИЙ РАЙОН,UA53080090000014431,ЗІНЬКІВСЬКА ТЕРИТОРІАЛЬНА ГРОМАДА,Користування для с/г потреб (емфітевзис),01.01 Для ведення товарного сільськогосподарського виробництва,9.370000000000001,2
ФОП,UA53000000000028050,ПОЛТАВСЬКА ОБЛАСТЬ,UA53060000000045271,МИРГОРОДСЬКИЙ РАЙОН,UA53060330000036503,ШИШАЦЬКА ТЕРИТОРІАЛЬНА ГРОМАДА,Користування для с/г потреб (емфітевзис),01.03 Для ведення особистого селянського господарства,7.0,5
ФОП,UA53000000000028050,ПОЛТАВСЬКА ОБЛАСТЬ,UA53020000000034761,КРЕМЕНЧУЦЬКИЙ РАЙОН,UA53020230000086353,СЕМЕНІВСЬКА ТЕРИТОРІАЛЬНА ГРОМАДА,Оренда,01.01 Для ведення товарного сільськогосподарського виробництва,47.0,2
ФОП,UA53000000000028050,ПОЛТАВСЬКА ОБЛАСТЬ,UA53040000000081308,ЛУБЕНСЬКИЙ РАЙОН,UA53040070000083099,ОРЖИЦЬКА ТЕРИТОРІАЛЬНА ГРОМАДА,Оренда,01.01 Для ведення товарного сільськогосподарського виробництва,4113.455699999999,737
ФОП,UA53000000000028050,ПОЛТАВСЬКА ОБЛАСТЬ,UA53040000000081308,ЛУБЕНСЬКИЙ РАЙОН,UA53040090000048649,ПИРЯТИНСЬКА ТЕРИТОРІАЛЬНА ГРОМАДА,Оренда,01.01 Для ведення товарного сільськогосподарського виробництва,5.1797,1
ФОП,UA53000000000028050,ПОЛТАВСЬКА ОБЛАСТЬ,UA53060000000045271,МИРГОРОДСЬКИЙ РАЙОН,UA53060070000077527,ВЕЛИКОСОРОЧИНСЬКА ТЕРИТОРІАЛЬНА ГРОМАДА,Оренда,01.01 Для ведення товарного сільськогосподарського виробництва,1.57,1
ФОП,UA53000000000028050,ПОЛТАВСЬКА ОБЛАСТЬ,UA53060000000045271,МИРГОРОДСЬКИЙ РАЙОН,UA53060330000036503,ШИШАЦЬКА ТЕРИТОРІАЛЬНА ГРОМАДА,Оренда,01.01 Для ведення товарного сільськогосподарського виробництва,87.70190000000002,29
ФОП,UA53000000000028050,ПОЛТАВСЬКА ОБЛАСТЬ,UA53080000000068029,ПОЛТАВСЬКИЙ РАЙОН,UA53080090000014431,ЗІНЬКІВСЬКА ТЕРИТОРІАЛЬНА ГРОМАДА,Оренда,01.01 Для ведення товарного сільськогосподарського виробництва,25.4436,6
ФОП,UA53000000000028050,ПОЛТАВСЬКА ОБЛАСТЬ,UA53080000000068029,ПОЛТАВСЬКИЙ РАЙОН,UA53080210000072644,МАРТИНІВСЬКА ТЕРИТОРІАЛЬНА ГРОМАДА,Оренда,01.01 Для ведення товарного сільськогосподарського виробництва,90.3343,11
ФОП,UA53000000000028050,ПОЛТАВСЬКА ОБЛАСТЬ,UA53020000000034761,КРЕМЕНЧУЦЬКИЙ РАЙОН,UA53020230000086353,СЕМЕНІВСЬКА ТЕРИТОРІАЛЬНА ГРОМАДА,Оренда,01.02 Для ведення фермерського господарства,15.0,1
ФОП,UA53000000000028050,ПОЛТАВСЬКА ОБЛАСТЬ,UA53020000000034761,КРЕМЕНЧУЦЬКИЙ РАЙОН,UA53020230000086353,СЕМЕНІВСЬКА ТЕРИТОРІАЛЬНА ГРОМАДА,Оренда,01.03 Для ведення особистого селянського господарства,19.9125,10
ФОП,UA53000000000028050,ПОЛТАВСЬКА ОБЛАСТЬ,UA53040000000081308,ЛУБЕНСЬКИЙ РАЙОН,UA53040070000083099,ОРЖИЦЬКА ТЕРИТОРІАЛЬНА ГРОМАДА,Оренда,01.03 Для ведення особистого селянського господарства,173.89700000000005,113
ФОП,UA53000000000028050,ПОЛТАВСЬКА ОБЛАСТЬ,UA53040000000081308,ЛУБЕНСЬКИЙ РАЙОН,UA53040090000048649,ПИРЯТИНСЬКА ТЕРИТОРІАЛЬНА ГРОМАДА,Оренда,01.03 Для ведення особистого селянського господарства,1.6996,1
ФОП,UA53000000000028050,ПОЛТАВСЬКА ОБЛАСТЬ,UA53060000000045271,МИРГОРОДСЬКИЙ РАЙОН,UA53060330000036503,ШИШАЦЬКА ТЕРИТОРІАЛЬНА ГРОМАДА,Оренда,01.03 Для ведення особистого селянського господарства,25.2995,22
ФОП,UA53000000000028050,ПОЛТАВСЬКА ОБЛАСТЬ,UA53080000000068029,ПОЛТАВСЬКИЙ РАЙОН,UA53080090000014431,ЗІНЬКІВСЬКА ТЕРИТОРІАЛЬНА ГРОМАДА,Оренда,01.03 Для ведення особистого селянського господарства,2.0,1
ФОП,UA53000000000028050,ПОЛТАВСЬКА ОБЛАСТЬ,UA53020000000034761,КРЕМЕНЧУЦЬКИЙ РАЙОН,UA53020230000086353,СЕМЕНІВСЬКА ТЕРИТОРІАЛЬНА ГРОМАДА,Оренда,01.07 Для городництва,10.0,1
ФОП,UA53000000000028050,ПОЛТАВСЬКА ОБЛАСТЬ,UA53080000000068029,ПОЛТАВСЬКИЙ РАЙОН,UA53080210000072644,МАРТИНІВСЬКА ТЕРИТОРІАЛЬНА ГРОМАДА,Оренда,01.08 Для сінокосіння і випасання худоби,30.2666,1
ФОП,UA53000000000028050,ПОЛТАВСЬКА ОБЛАСТЬ,UA53040000000081308,ЛУБЕНСЬКИЙ РАЙОН,UA53040070000083099,ОРЖИЦЬКА ТЕРИТОРІАЛЬНА ГРОМАДА,Оренда,"16.00 Землі запасу (земельні ділянки кожної категорії земель, які не надані у власність або користування громадянам чи юридичним особам)",7.4999,5
ФОП,UA53000000000028050,ПОЛТАВСЬКА ОБЛАСТЬ,UA53040000000081308,ЛУБЕНСЬКИЙ РАЙОН,UA53040070000083099,ОРЖИЦЬКА ТЕРИТОРІАЛЬНА ГРОМАДА,Оренда,Не визначений,0.0446,1
ФОП,UA56000000000066151,РІВНЕНСЬКА ОБЛАСТЬ,UA56020000000011586,ВАРАСЬКИЙ РАЙОН,UA56020130000066130,ПОЛИЦЬКА ТЕРИТОРІАЛЬНА ГРОМАДА,Власність,01.03 Для ведення особистого селянського господарства,2.589,1
ФОП,UA56000000000066151,РІВНЕНСЬКА ОБЛАСТЬ,UA56040000000062179,ДУБЕНСЬКИЙ РАЙОН,UA56040210000047101,ОСТРОЖЕЦЬКА ТЕРИТОРІАЛЬНА ГРОМАДА,Власність,01.03 Для ведення особистого селянського господарства,0.35,1
ФОП,UA56000000000066151,РІВНЕНСЬКА ОБЛАСТЬ,UA56040000000062179,ДУБЕНСЬКИЙ РАЙОН,UA56040270000014394,ПРИВІЛЬНЕНСЬКА ТЕРИТОРІАЛЬНА ГРОМАДА,Власність,01.03 Для ведення особистого селянського господарства,0.5288,1
ФОП,UA56000000000066151,РІВНЕНСЬКА ОБЛАСТЬ,UA56080000000096146,САРНЕНСЬКИЙ РАЙОН,UA56080110000056503,МИЛЯЦЬКА ТЕРИТОРІАЛЬНА ГРОМАДА,Власність,01.03 Для ведення особистого селянського господарства,5.2827,4
ФОП,UA56000000000066151,РІВНЕНСЬКА ОБЛАСТЬ,UA56040000000062179,ДУБЕНСЬКИЙ РАЙОН,UA56040210000047101,ОСТРОЖЕЦЬКА ТЕРИТОРІАЛЬНА ГРОМАДА,Власність,"02.01 Для будівництва і обслуговування житлового будинку, господарських будівель і споруд (присадибна ділянка)",0.25,1
ФОП,UA56000000000066151,РІВНЕНСЬКА ОБЛАСТЬ,UA56040000000062179,ДУБЕНСЬКИЙ РАЙОН,UA56040270000014394,ПРИВІЛЬНЕНСЬКА ТЕРИТОРІАЛЬНА ГРОМАДА,Власність,"02.01 Для будівництва і обслуговування житлового будинку, господарських будівель і споруд (присадибна ділянка)",0.25,1
ФОП,UA59000000000057109,СУМСЬКА ОБЛАСТЬ,UA59040000000045652,ОХТИРСЬКИЙ РАЙОН,UA59040130000041676,ТРОСТЯНЕЦЬКА ТЕРИТОРІАЛЬНА ГРОМАДА,Власність,01.01 Для ведення товарного сільськогосподарського виробництва,2.7562,2
ФОП,UA59000000000057109,СУМСЬКА ОБЛАСТЬ,UA59080000000057897,СУМСЬКИЙ РАЙОН,UA59080210000075243,РІЧКІВСЬКА ТЕРИТОРІАЛЬНА ГРОМАДА,Власність,01.01 Для ведення товарного сільськогосподарського виробництва,2.5288,1
ФОП,UA59000000000057109,СУМСЬКА ОБЛАСТЬ,UA59100000000036457,ШОСТКИНСЬКИЙ РАЙОН,UA59100170000093676,ШОСТКИНСЬКА ТЕРИТОРІАЛЬНА ГРОМАДА,Власність,01.01 Для ведення товарного сільськогосподарського виробництва,2.4644,2
ФОП,UA59000000000057109,СУМСЬКА ОБЛАСТЬ,UA59080000000057897,СУМСЬКИЙ РАЙОН,UA59080210000075243,РІЧКІВСЬКА ТЕРИТОРІАЛЬНА ГРОМАДА,Власність,01.02 Для ведення фермерського господарства,2.6787,1
ФОП,UA59000000000057109,СУМСЬКА ОБЛАСТЬ,UA59040000000045652,ОХТИРСЬКИЙ РАЙОН,UA59040070000045520,КИРИКІВСЬКА ТЕРИТОРІАЛЬНА ГРОМАДА,Власність,01.03 Для ведення особистого селянського господарства,26.0,13
ФОП,UA59000000000057109,СУМСЬКА ОБЛАСТЬ,UA59040000000045652,ОХТИРСЬКИЙ РАЙОН,UA59040130000041676,ТРОСТЯНЕЦЬКА ТЕРИТОРІАЛЬНА ГРОМАДА,Власність,01.03 Для ведення особистого селянського господарства,4.0,2
ФОП,UA59000000000057109,СУМСЬКА ОБЛАСТЬ,UA59060000000086008,РОМЕНСЬКИЙ РАЙОН,UA59060130000041204,СИНІВСЬКА ТЕРИТОРІАЛЬНА ГРОМАДА,Власність,01.03 Для ведення особистого селянського господарства,1.9822,1
ФОП,UA59000000000057109,СУМСЬКА ОБЛАСТЬ,UA59080000000057897,СУМСЬКИЙ РАЙОН,UA59080210000075243,РІЧКІВСЬКА ТЕРИТОРІАЛЬНА ГРОМАДА,Власність,01.03 Для ведення особистого селянського господарства,2.0,1
ФОП,UA59000000000057109,СУМСЬКА ОБЛАСТЬ,UA59080000000057897,СУМСЬКИЙ РАЙОН,UA59080270000073662,СУМСЬКА ТЕРИТОРІАЛЬНА ГРОМАДА,Власність,"02.01 Для будівництва і обслуговування житлового будинку, господарських будівель і споруд (присадибна ділянка)",0.0338,1
ФОП,UA59000000000057109,СУМСЬКА ОБЛАСТЬ,UA59040000000045652,ОХТИРСЬКИЙ РАЙОН,UA59040130000041676,ТРОСТЯНЕЦЬКА ТЕРИТОРІАЛЬНА ГРОМАДА,Власність,"11.02 Для розміщення та експлуатації основних, підсобних і допоміжних будівель та споруд підприємств переробної, машинобудівної та іншої промисловості",1.967,1
ФОП,UA59000000000057109,СУМСЬКА ОБЛАСТЬ,UA59040000000045652,ОХТИРСЬКИЙ РАЙОН,UA59040130000041676,ТРОСТЯНЕЦЬКА ТЕРИТОРІАЛЬНА ГРОМАДА,Власність,Не визначений,0.0061,1
ФОП,UA59000000000057109,СУМСЬКА ОБЛАСТЬ,UA59040000000045652,ОХТИРСЬКИЙ РАЙОН,UA59040070000045520,КИРИКІВСЬКА ТЕРИТОРІАЛЬНА ГРОМАДА,Користування для с/г потреб (емфітевзис),01.01 Для ведення товарного сільськогосподарського виробництва,2.3193,1
ФОП,UA59000000000057109,СУМСЬКА ОБЛАСТЬ,UA59040000000045652,ОХТИРСЬКИЙ РАЙОН,UA59040130000041676,ТРОСТЯНЕЦЬКА ТЕРИТОРІАЛЬНА ГРОМАДА,Користування для с/г потреб (емфітевзис),01.01 Для ведення товарного сільськогосподарського виробництва,46.151500000000006,17
ФОП,UA59000000000057109,СУМСЬКА ОБЛАСТЬ,UA59080000000057897,СУМСЬКИЙ РАЙОН,UA59080130000022249,МИКОЛАЇВСЬКА ТЕРИТОРІАЛЬНА ГРОМАДА,Користування для с/г потреб (емфітевзис),01.01 Для ведення товарного сільськогосподарського виробництва,3.7083999999999997,2
ФОП,UA59000000000057109,СУМСЬКА ОБЛАСТЬ,UA59040000000045652,ОХТИРСЬКИЙ РАЙОН,UA59040130000041676,ТРОСТЯНЕЦЬКА ТЕРИТОРІАЛЬНА ГРОМАДА,Користування для с/г потреб (емфітевзис),01.03 Для ведення особистого селянського господарства,10.4,6
ФОП,UA59000000000057109,СУМСЬКА ОБЛАСТЬ,UA59040000000045652,ОХТИРСЬКИЙ РАЙОН,UA59040070000045520,КИРИКІВСЬКА ТЕРИТОРІАЛЬНА ГРОМАДА,Оренда,01.01 Для ведення товарного сільськогосподарського виробництва,90.70000000000002,16
ФОП,UA59000000000057109,СУМСЬКА ОБЛАСТЬ,UA59040000000045652,ОХТИРСЬКИЙ РАЙОН,UA59040130000041676,ТРОСТЯНЕЦЬКА ТЕРИТОРІАЛЬНА ГРОМАДА,Оренда,01.01 Для ведення товарного сільськогосподарського виробництва,726.0635999999998,198
ФОП,UA59000000000057109,СУМСЬКА ОБЛАСТЬ,UA59060000000086008,РОМЕНСЬКИЙ РАЙОН,UA59060030000069916,ВІЛЬШАНСЬКА ТЕРИТОРІАЛЬНА ГРОМАДА,Оренда,01.01 Для ведення товарного сільськогосподарського виробництва,16.4884,1
ФОП,UA59000000000057109,СУМСЬКА ОБЛАСТЬ,UA59080000000057897,СУМСЬКИЙ РАЙОН,UA59080130000022249,МИКОЛАЇВСЬКА ТЕРИТОРІАЛЬНА ГРОМАДА,Оренда,01.01 Для ведення товарного сільськогосподарського виробництва,114.05189999999996,39
ФОП,UA59000000000057109,СУМСЬКА ОБЛАСТЬ,UA59100000000036457,ШОСТКИНСЬКИЙ РАЙОН,UA59100170000093676,ШОСТКИНСЬКА ТЕРИТОРІАЛЬНА ГРОМАДА,Оренда,01.01 Для ведення товарного сільськогосподарського виробництва,1220.4178299999992,697
ФОП,UA59000000000057109,СУМСЬКА ОБЛАСТЬ,UA59040000000045652,ОХТИРСЬКИЙ РАЙОН,UA59040070000045520,КИРИКІВСЬКА ТЕРИТОРІАЛЬНА ГРОМАДА,Оренда,01.03 Для ведення особистого селянського господарства,8.0,4
ФОП,UA59000000000057109,СУМСЬКА ОБЛАСТЬ,UA59040000000045652,ОХТИРСЬКИЙ РАЙОН,UA59040130000041676,ТРОСТЯНЕЦЬКА ТЕРИТОРІАЛЬНА ГРОМАДА,Оренда,01.03 Для ведення особистого селянського господарства,19.2249,10
ФОП,UA59000000000057109,СУМСЬКА ОБЛАСТЬ,UA59080000000057897,СУМСЬКИЙ РАЙОН,UA59080130000022249,МИКОЛАЇВСЬКА ТЕРИТОРІАЛЬНА ГРОМАДА,Оренда,01.03 Для ведення особистого селянського господарства,5.950699999999999,6
ФОП,UA59000000000057109,СУМСЬКА ОБЛАСТЬ,UA59100000000036457,ШОСТКИНСЬКИЙ РАЙОН,UA59100170000093676,ШОСТКИНСЬКА ТЕРИТОРІАЛЬНА ГРОМАДА,Оренда,01.03 Для ведення особистого селянського господарства,29.840000000000003,16
ФОП,UA59000000000057109,СУМСЬКА ОБЛАСТЬ,UA59080000000057897,СУМСЬКИЙ РАЙОН,UA59080130000022249,МИКОЛАЇВСЬКА ТЕРИТОРІАЛЬНА ГРОМАДА,Оренда,01.13 Для іншого сільськогосподарського призначення,4.0,1
